Provider,product,Price,CPU_RAM_price,Storage_price,licensed_OS_price,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Regional_redundancy,Autoscaling,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Region
Amazon,RH71,0.09525,0.064,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,All upfront,3 Year commitment,On Demand,Standard,Windows,Europe
Amazon,RH72,0.16805,0.1368,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Europe
Amazon,RH73,0.12701,0.09576,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,no upfront,No commitment,Spot,Standard,Linux,Europe
Amazon,RH74,0.13925,0.108,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH75,0.13725,0.106,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH76,0.13625,0.105,0.03125,0,0,0,500,600,2,8,1000,no,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH77,0.24354,0.089,0.03125,0,0,0.1233,500,1000,2,8,1000,no,horizontal,no upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH78,0.24154,0.087,0.03125,0,0,0.1233,500,1000,2,8,1000,no,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH79,0.22617,0.089,0.01388,0,0,0.1233,100,1000,2,8,400,no,horizontal,All upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH80,2.89246,1.4868,0.0084,0,0,1.3973,9000,12000,32,64,400,no,horizontal,no upfront,No commitment,On Demand,SSD,Linux,US
Amazon,RH81,2.39066,0.985,0.0084,0,0,1.3973,9000,12000,32,64,400,no,horizontal,no upfront,1 Year commitment,On Demand,SSD,Linux,US
Amazon,RH82,2.12166,0.716,0.0084,0,0,1.3973,9000,12000,32,64,400,no,horizontal,no upfront,3 Year commitment,On Demand,SSD,Linux,US
Amazon,RH83,2.34966,0.944,0.0084,0,0,1.3973,9000,12000,32,64,400,no,horizontal,partially upfront,1 Year commitment,On Demand,SSD,Linux,US
Amazon,RH84,3.26517,0.928,0.0084,0,0,2.3288,9000,20000,32,64,400,no,horizontal,All upfront,1 Year commitment,On Demand,SSD,Linux,US
